path,error
./data/editions/ed__1776-08-17.xml,"ID p129 already defined, line 9076, column 82 (ed__1776-08-17.xml, line 9076)"
./data/editions/ed__1795-06-13.xml,"ID facs_1_line_1506388998229_9 already defined, line 2146, column 527 (ed__1795-06-13.xml, line 2146)"
./data/editions/ed__1765-08-31.xml,"ID facs_6_tl_35 already defined, line 1099, column 1800 (ed__1765-08-31.xml, line 1099)"
./data/editions/ed__1705-09-23.xml,"Opening and ending tag mismatch: w line 2072 and p, line 2077, column 200 (ed__1705-09-23.xml, line 2077)"
./data/editions/ed__1776-06-01.xml,"ID p129 already defined, line 8601, column 82 (ed__1776-06-01.xml, line 8601)"
./data/editions/ed__1786-07-01.xml,"ID cell78 already defined, line 9462, column 84 (ed__1786-07-01.xml, line 9462)"
./data/editions/ed__1754-08-21.xml,"Opening and ending tag mismatch: p line 651 and fw, line 660, column 308 (ed__1754-08-21.xml, line 660)"
./data/editions/ed__1729-04-16.xml,"ID p44 already defined, line 4118, column 83 (ed__1729-04-16.xml, line 4118)"
./data/editions/ed__1726-09-04.xml,"ID cell164 already defined, line 7107, column 85 (ed__1726-09-04.xml, line 7107)"
./data/editions/ed__1772-05-16.xml,"ID p88 already defined, line 4115, column 73 (ed__1772-05-16.xml, line 4115)"
./data/editions/ed__1793-02-06.xml,"ID w18950 already defined, line 4873, column 78 (ed__1793-02-06.xml, line 4873)"
./data/editions/ed__1777-05-14.xml,"ID cell243 already defined, line 10322, column 253 (ed__1777-05-14.xml, line 10322)"
